,"M DE FOSILES, ROCAS Y MINERALES ",,,,,,,,,,,,,,,,,,,,,
,INVENTARIO DEL PATRIMONIO MINERALOGICO PT. 2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,CLAVE,NOMBRE,PROCEDENCIA,DESCRIPCION,UBICACIÓN,,IMAGEN,FECHA,OBSERVACION ,LUMINISCENCIA ,Tamaño,,,,,,,,,,,
,,,,,No. De caja ,No. De caja mediana ,,,,,Talla ,Medidas (cm),tipo,estatus,,,,,,,,
,1,Cuarzo ahumado y ortoclasa ,"La Mancuerna, Tatatila, Veracruz, México ",Cristales prismáticos de cuarzo color gris recubiertos por microcristales de color beige de ortoclasa. ,1/106,1,#¡DESCONOCIDO!,25/01/2025,Tienda ,,,,1,,,,,,,,,
,2,Cuarzo ahumado y ortoclasa ,"La Mancuerna, Tatatila, Veracruz, México ","Cristales prismaticos color gris, translucido y brillo vitreo. Con agregado de cristales prismaiticos de color crema, translucido y brillo nacarado. Recubiertos por patina de oxidos de hierro. ",1/106,1,#¡DESCONOCIDO!,25/01/2025,Tienda ,,,,2,,,,,,,,,
,3,Cuarzo amatista y ortoclasa ,"La Mancuerna, Tatatila, Veracruz, México ","Cristales prismáticos de color morado ahumado con agregado de cristales maclados de ortoclasa color crema, translucida y brillo nacarado. ",1/106,1,,25/01/2025,Tienda ,,,,3,,,,,,,,,
,4,"Cuarzo ahumado, ortoclasa y stellerita","La Mancuerna, Tatatila, Veracruz, México ","Cristales prismáticos de cuarzo color gris, transparente y brillo vitreo. Con agregado de cristales de ortoclasa color crema, translucido y brillo nacarado. Además, de cristales radiados de stellerita color naranja, translucido y brillo nacarado. ",1/106,1,,25/01/2025,Tienda ,,,,4,,,,,,,,,
,5,Cuarzo ahumado y pirolusita ,"La Mancuerna, Tatatila, Veracruz, México ",Cristales prismáticos de cuarzo color gris recubiertos por microcristales de color beige y una patina de óxidos de hierro. Sobre una matriz de ortoclasa. ,1/106,1,,25/01/2025,Tienda ,,,,5,,,,,,,,,
